id,legacy_id,priority,category,title,layer,doc_type,issuer,rule_no,publish_date,effective_date,current_status,record_role,ingest_status,is_core,source_type,product_tags,business_line_tags,market_tags,business_tags,catalog_paths,key_obligations,source_url,local_path,text_path,file_type,downloaded_count,notes,errors
TB001,TB001,P0,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国证券投资基金法,法律,法律,全国人民代表大会常务委员会,,2015-04-24,2015-04-24,现行有效,正式规则,已入库,是,国家法律法规数据库,公募基金,,,法律; A; C; 托管人法定职责; 基金财产独立性; 持有人保护; 公募基金,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律; C_产品专册 > C-01 公募基金 > C-01-01 基础规则,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_国家法律法规数据库.txt,docx; pdf,2,续跑时复用已下载文件; 空文本已从原文重新抽取; 复用旧公募基金托管库原文/文本; 复用已入库国家法律法规数据库原文; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB002,TB002,P0,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国证券法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,,,法律; A; 证券交易; 信息披露; 市场禁止行为,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB002_中华人民共和国证券法\002_中华人民共和国证券法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB002_中华人民共和国证券法\002_中华人民共和国证券法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB002_中华人民共和国证券法\002_中华人民共和国证券法_国家法律法规数据库.txt,docx; pdf,2,续跑时复用已下载文件; 空文本已从原文重新抽取; 复用旧公募基金托管库原文/文本; 复用已入库国家法律法规数据库原文; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB003,TB003,P0,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国商业银行法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,,,法律; A,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB003_中华人民共和国商业银行法\TB003_中华人民共和国商业银行法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB003_中华人民共和国商业银行法\TB003_中华人民共和国商业银行法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB003_中华人民共和国商业银行法\TB003_中华人民共和国商业银行法_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB004,TB004,P0,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国银行业监督管理法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,,,,法律; A; 商业银行监管; 机构监管,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB004_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB004_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB004_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_国家法律法规数据库.txt,docx; pdf,2,续跑时复用已下载文件; 空文本已从原文重新抽取; 复用旧公募基金托管库原文/文本; 复用已入库国家法律法规数据库原文; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB005,TB005,P0,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国信托法,法律,法律,全国人民代表大会常务委员会,,2001-04-28,2001-10-01,现行有效,正式规则,已入库,是,国家法律法规数据库,信托,,,法律; A; C; 信托关系; 受托义务; 财产独立性; 信托,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律; C_产品专册 > C-05 信托财产,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB005_中华人民共和国信托法\004_中华人民共和国信托法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB005_中华人民共和国信托法\004_中华人民共和国信托法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB005_中华人民共和国信托法\004_中华人民共和国信托法_国家法律法规数据库.txt,docx; pdf,2,续跑时复用已下载文件; 空文本已从原文重新抽取; 复用旧公募基金托管库原文/文本; 复用已入库国家法律法规数据库原文; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB006,TB006,P0,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国期货和衍生品法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,是,国家法律法规数据库,衍生品; REITs,,期货; 衍生品,法律; A; C; 衍生品; REITs; 期货,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律; C_产品专册 > C-09 另类资产、REITs、衍生品、转融通与ABS/ABN,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB006_中华人民共和国期货和衍生品法\TB006_中华人民共和国期货和衍生品法_国家法律法规数据库.docx; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB006_中华人民共和国期货和衍生品法\TB006_中华人民共和国期货和衍生品法_国家法律法规数据库.pdf,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB006_中华人民共和国期货和衍生品法\TB006_中华人民共和国期货和衍生品法_国家法律法规数据库.txt,docx; pdf,2,复用已入库国家法律法规数据库原文; 复用旧公募基金托管库原文/文本; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB007,TB007,P1,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国中国人民银行法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,,,法律; A,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://www.pbc.gov.cn/; https://flk.npc.gov.cn/; https://www.nfra.gov.cn/; https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB007_中华人民共和国中国人民银行法\TB007_中华人民共和国中国人民银行法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB007_中华人民共和国中国人民银行法\TB007_中华人民共和国中国人民银行法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB007_中华人民共和国中国人民银行法\TB007_中华人民共和国中国人民银行法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB008,TB008,P1,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国保险法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,,,法律; A,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/; https://www.nfra.gov.cn/; https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB008_中华人民共和国保险法\TB008_中华人民共和国保险法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB008_中华人民共和国保险法\TB008_中华人民共和国保险法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB008_中华人民共和国保险法\TB008_中华人民共和国保险法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB009,TB009,P1,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国公司法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,,,法律; A,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB009_中华人民共和国公司法\TB009_中华人民共和国公司法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB009_中华人民共和国公司法\TB009_中华人民共和国公司法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB009_中华人民共和国公司法\TB009_中华人民共和国公司法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
TB010,TB010,P1,A_法源与监管总则/A-01上位法律/A-01-01金融与证券基金基础法律,中华人民共和国合伙企业法,法律,法律,全国人民代表大会常务委员会,,,,现行有效,正式规则,已入库,否,官方入口; 国家法律法规数据库,,,,法律; A,A_法源与监管总则 > A-01 上位法律 > A-01-01 金融与证券基金基础法律,,https://flk.npc.gov.cn/,01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB010_中华人民共和国合伙企业法\TB010_中华人民共和国合伙企业法_国家法律法规数据库.pdf; 01_法规原文库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB010_中华人民共和国合伙企业法\TB010_中华人民共和国合伙企业法_国家法律法规数据库.docx,02_文本抽取库\A_法源与监管总则\A-01上位法律\A-01-01金融与证券基金基础法律\TB010_中华人民共和国合伙企业法\TB010_中华人民共和国合伙企业法_国家法律法规数据库.txt,docx; pdf,2,国家法律法规数据库pdf下载返回非文件内容，已跳过; 国家法律法规数据库docx下载返回非文件内容，已跳过; 复用旧公募基金托管库原文/文本; 从国家法律法规数据库下载; 分类口径：标题包含规则关键词，按正式规则处理; 分类口径：已有正式原文且状态为现行有效,
