id,priority,category,title,layer,issuer,rule_no,publish_date,effective_date,current_status,is_core,source_type,business_tags,source_url,local_path,text_path,file_type,downloaded_count,notes,errors
001,P0,01_上位法律,中华人民共和国证券投资基金法,法律,全国人民代表大会常务委员会,,2015-04-24,2015-04-24,现行有效,是,,托管人法定职责;基金财产独立性;持有人保护,https://flk.npc.gov.cn/,01_法规原文库\01_上位法律\001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_npc_detail.json; 01_法规原文库\01_上位法律\001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_国家法律法规数据库.docx; 01_法规原文库\01_上位法律\001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_国家法律法规数据库.pdf,02_文本抽取库\01_上位法律\001_中华人民共和国证券投资基金法\001_中华人民共和国证券投资基金法_国家法律法规数据库.txt,docx; json; pdf,3,续跑时复用已下载文件,
002,P0,01_上位法律,中华人民共和国证券法,法律,全国人民代表大会常务委员会,,,,现行有效,是,,证券交易;信息披露;市场禁止行为,https://flk.npc.gov.cn/,01_法规原文库\01_上位法律\002_中华人民共和国证券法\002_中华人民共和国证券法_npc_detail.json; 01_法规原文库\01_上位法律\002_中华人民共和国证券法\002_中华人民共和国证券法_国家法律法规数据库.docx; 01_法规原文库\01_上位法律\002_中华人民共和国证券法\002_中华人民共和国证券法_国家法律法规数据库.pdf,02_文本抽取库\01_上位法律\002_中华人民共和国证券法\002_中华人民共和国证券法_国家法律法规数据库.txt,docx; json; pdf,3,续跑时复用已下载文件,
003,P0,01_上位法律,中华人民共和国银行业监督管理法,法律,全国人民代表大会常务委员会,,,,现行有效,是,,商业银行监管;机构监管,https://flk.npc.gov.cn/,01_法规原文库\01_上位法律\003_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_npc_detail.json; 01_法规原文库\01_上位法律\003_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_国家法律法规数据库.docx; 01_法规原文库\01_上位法律\003_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_国家法律法规数据库.pdf,02_文本抽取库\01_上位法律\003_中华人民共和国银行业监督管理法\003_中华人民共和国银行业监督管理法_国家法律法规数据库.txt,docx; json; pdf,3,续跑时复用已下载文件,
004,P0,01_上位法律,中华人民共和国信托法,法律,全国人民代表大会常务委员会,,2001-04-28,2001-10-01,现行有效,是,,信托关系;受托义务;财产独立性,https://flk.npc.gov.cn/,01_法规原文库\01_上位法律\004_中华人民共和国信托法\004_中华人民共和国信托法_npc_detail.json; 01_法规原文库\01_上位法律\004_中华人民共和国信托法\004_中华人民共和国信托法_国家法律法规数据库.docx; 01_法规原文库\01_上位法律\004_中华人民共和国信托法\004_中华人民共和国信托法_国家法律法规数据库.pdf,02_文本抽取库\01_上位法律\004_中华人民共和国信托法\004_中华人民共和国信托法_国家法律法规数据库.txt,docx; json; pdf,3,续跑时复用已下载文件,
005,P0,02_行政法规与部门规章,证券投资基金托管业务管理办法,部门规章,中国证监会、原银保监会,证监会令第172号,2020-07-10,2020-07-10,现行有效,是,正文页,托管资格;托管人职责;内控;监督边界;退出机制,https://www.csrc.gov.cn/csrc/c101877/c1029534/content.shtml,01_法规原文库\02_行政法规与部门规章\005_证券投资基金托管业务管理办法\005_证券投资基金托管业务管理办法_01_正文页.html,02_文本抽取库\02_行政法规与部门规章\005_证券投资基金托管业务管理办法\005_证券投资基金托管业务管理办法_01_正文页.txt,html,1,2025年修订草案仅作辅助线索，不替代现行172号令; 续跑时复用已下载文件,
006,P1,02_行政法规与部门规章,基金管理公司投资管理人员管理指导意见,规范性文件,中国证监会,证监会公告〔2009〕3号,2009-03-17,2009-04-01,现行有效,否,正文页,人员治理;信息隔离;投资管理,https://www.csrc.gov.cn/csrc/c101877/c1029635/content.shtml,01_法规原文库\02_行政法规与部门规章\006_基金管理公司投资管理人员管理指导意见\006_基金管理公司投资管理人员管理指导意见_01_正文页.html,02_文本抽取库\02_行政法规与部门规章\006_基金管理公司投资管理人员管理指导意见\006_基金管理公司投资管理人员管理指导意见_01_正文页.txt,html,1,续跑时复用已下载文件,
007,P1,02_行政法规与部门规章,基金托管人资格核准相关行政许可服务指南,行政许可配套文件,中国证监会,,,,辅助索引,否,服务指南页,托管资格申请;行政许可,https://www.csrc.gov.cn/csrc/c101968/c4179850/content.shtml,01_法规原文库\02_行政法规与部门规章\007_基金托管人资格核准相关行政许可服务指南\007_基金托管人资格核准相关行政许可服务指南_01_服务指南页.html,02_文本抽取库\02_行政法规与部门规章\007_基金托管人资格核准相关行政许可服务指南\007_基金托管人资格核准相关行政许可服务指南_01_服务指南页.txt,html,1,辅助索引，非主规则正文; 续跑时复用已下载文件,
008,P0,03_证监会公募基金一般运作规则,公开募集证券投资基金运作管理办法,部门规章,中国证监会,证监会令第104号,2014-07-07,2014-08-08,现行有效,是,正文页;附件,募集;运作;申赎;清算;持有人大会,https://www.csrc.gov.cn/csrc/c101877/c1029566/content.shtml; https://www.csrc.gov.cn/csrc/c106256/c1653978/content.shtml,01_法规原文库\03_证监会公募基金一般运作规则\008_公开募集证券投资基金运作管理办法\008_公开募集证券投资基金运作管理办法_01_正文页.html; 01_法规原文库\03_证监会公募基金一般运作规则\008_公开募集证券投资基金运作管理办法\008_公开募集证券投资基金运作管理办法_02_规章库正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\008_公开募集证券投资基金运作管理办法\008_公开募集证券投资基金运作管理办法_01_正文页.txt; 02_文本抽取库\03_证监会公募基金一般运作规则\008_公开募集证券投资基金运作管理办法\008_公开募集证券投资基金运作管理办法_02_规章库正文页.txt,html,2,续跑时复用已下载文件,
009,P0,03_证监会公募基金一般运作规则,公开募集证券投资基金信息披露管理办法,部门规章,中国证监会,证监会令第158号,2019-07-26,2019-09-01,现行有效,是,正文页,净值披露;定期报告;临时公告;未公开信息,https://www.csrc.gov.cn/csrc/c101877/c1029542/content.shtml; https://www.csrc.gov.cn/csrc/c106256/c1653985/content.shtml,01_法规原文库\03_证监会公募基金一般运作规则\009_公开募集证券投资基金信息披露管理办法\009_公开募集证券投资基金信息披露管理办法_01_正文页.html; 01_法规原文库\03_证监会公募基金一般运作规则\009_公开募集证券投资基金信息披露管理办法\009_公开募集证券投资基金信息披露管理办法_02_规章库正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\009_公开募集证券投资基金信息披露管理办法\009_公开募集证券投资基金信息披露管理办法_01_正文页.txt; 02_文本抽取库\03_证监会公募基金一般运作规则\009_公开募集证券投资基金信息披露管理办法\009_公开募集证券投资基金信息披露管理办法_02_规章库正文页.txt,html,2,续跑时复用已下载文件,
010,P0,03_证监会公募基金一般运作规则,关于实施《公开募集证券投资基金信息披露管理办法》有关问题的规定,规范性文件,中国证监会,证监会公告〔2019〕18号,2019-07-26,2019-09-01,现行有效,是,正文页,信息披露执行;披露媒介;过渡安排,https://www.csrc.gov.cn/csrc/c101877/c1029541/content.shtml,01_法规原文库\03_证监会公募基金一般运作规则\010_关于实施《公开募集证券投资基金信息披露管理办法》有关问题的规定\010_关于实施《公开募集证券投资基金信息披露管理办法》有关问题的规定_01_正文页.html,02_文本抽取库\03_证监会公募基金一般运作规则\010_关于实施《公开募集证券投资基金信息披露管理办法》有关问题的规定\010_关于实施《公开募集证券投资基金信息披露管理办法》有关问题的规定_01_正文页.txt,html,1,续跑时复用已下载文件,
